pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
Kepler-1167 b,Kepler-1167,Transit,1,1.003933739,0.0175,1.71,3.57,3.92,0.0,1419.0,1039.697,4971.0,0.75,0.79,-0.05,4.6,820.905,1,1
Kepler-1740 b,Kepler-1740,Transit,1,8.172400475,0.0779,3.32321414,11.0,1.65,0.0,858.0,127.95,5705.0,0.905,0.943,-0.06,4.499,1061.77,1,1
Kepler-1581 b,Kepler-1581,Transit,1,6.28385491,0.06865,0.8,0.437,4.69,0.0,1108.0,470.862,6022.0,1.23,1.12,0.07,4.31,493.175,1,1
Kepler-644 b,Kepler-644,Transit,1,3.173917103,0.04641,3.15,10.1,1.78,0.0,1655.0,2381.77,6747.0,1.81,1.49,0.08,4.09,1318.05,1,1
Kepler-1752 b,Kepler-1752,Transit,1,56.35850143,0.2698,4.54060463,18.7,1.1,0.0,419.0,7.29,5446.0,0.821,0.824,-0.2,4.525,962.888,1,1
Kepler-280 c,Kepler-280,Transit,1,4.807091,0.056,2.01,4.7,3.18,0.0,1088.0,279.085,5744.0,0.886,0.962,0.1213,4.537,780.361,1,2
Kepler-1208 b,Kepler-1208,Transit,1,11.08507637,0.0901,2.32,5.99,2.64,0.0,665.0,37.664,5001.0,0.76,0.8,-0.03,4.59,825.176,1,1
Kepler-263 c,Kepler-263,Transit,1,47.332773,0.242,2.47,6.66,2.43,0.0,386.0,5.994,5265.0,0.785,0.793,-0.0314,4.576,754.747,1,2
Kepler-1101 b,Kepler-1101,Transit,1,81.3151059,0.3483,2.47,6.66,2.43,0.0,393.0,3.577,5614.0,0.91,0.94,-0.04,4.5,742.473,1,1
HD 168746 b,HD 168746,Radial Velocity,0,6.404,0.07,11.1,85.8141,0.345,0.11,900.0,,5570.0,1.09,1.07,-0.08,4.39,41.5681,1,1
K2-19 b,K2-19,Transit,1,7.9222,0.074,7.0,32.4,0.52,0.2,779.0,87.0,5322.0,0.82,0.88,0.06,4.51,289.827,1,3
Kepler-560 b,Kepler-560,Transit,1,18.47764449,0.0899,1.72,3.61,3.9,0.17,298.0,2.46,3556.0,0.33,0.34,-0.39,4.94,109.308,2,1
Kepler-150 d,Kepler-150,Transit,1,12.56093,0.104,2.79,8.2,2.07,0.0,734.0,65.142,5560.0,0.939,0.956,0.12,4.466,891.092,1,5
Kepler-498 b,Kepler-498,Transit,1,9.61375356,0.0897,3.03,9.43,1.86,0.0,931.0,202.775,5744.0,0.96,0.98,-0.04,4.47,938.844,1,1
Kepler-817 b,Kepler-817,Transit,1,3.990106229,0.0493,9.03,60.2,0.449,0.0,1124.0,550.203,5861.0,1.03,1.03,0.02,4.42,1484.46,1,1
Kepler-937 b,Kepler-937,Transit,1,67.668827,0.3214,3.72,13.4,1.43,0.0,495.0,20.627,6095.0,1.22,1.15,0.08,4.32,1571.46,1,2
K2-10 b,K2-10,Transit,1,19.30553,0.137,3.773,25.2,2.36,0.31,649.0,42.1,5533.0,0.956,0.88,-0.07,4.47,272.36,1,1
Kepler-571 b,Kepler-571,Transit,1,4.798599388,0.0546,2.64,7.46,2.23,0.0,978.0,219.036,5527.0,0.9,0.93,0.01,4.51,723.875,1,1
Kepler-1458 b,Kepler-1458,Transit,1,47.9872764,0.24869,2.76,8.05,2.1,0.0,493.0,8.293,5653.0,0.94,0.96,0.02,4.48,544.45,1,1
K2-335 b,K2-335,Transit,1,12.283211,,2.21,5.52,2.81,,949.0,,6222.0,1.33,1.23,0.1,4.28,557.993,1,1
Kepler-1600 c,Kepler-1600,Transit,1,7.298049927,0.06961,1.94206512,4.43,3.32,0.0,786.0,84.7,5119.0,0.834,0.818,0.1,4.508,1030.81,1,2
Kepler-221 d,Kepler-221,Transit,1,10.04156,0.087,2.73,3.61,0.9,0.0,712.0,56.293,5243.0,0.821,0.854,0.0616,4.543,385.231,1,4
Kepler-626 b,Kepler-626,Transit,1,14.48585199,0.10913,2.29,5.86,2.68,0.0,784.0,69.795,5813.0,1.05,1.01,0.01,4.4,635.643,1,1
Kepler-1549 b,Kepler-1549,Transit,1,214.886545,0.6687,2.57,7.13,2.31,0.0,286.0,1.184,5324.0,0.84,0.88,0.02,4.54,803.052,1,1
K2-62 c,K2-62,Transit,1,16.19697,0.1148,1.99,4.62,3.22,,495.0,14.3,4455.0,0.696,0.67,-0.1,4.57,112.467,1,2
Kepler-1149 b,Kepler-1149,Transit,1,3.73089898,0.0473,1.44,2.67,4.91,0.0,1128.0,653.831,5833.0,1.01,1.02,0.02,4.43,1217.73,1,1
Kepler-1288 b,Kepler-1288,Transit,1,2.76122421,0.04135,1.12,1.46,5.71,0.0,2017.0,1342.5,6132.0,1.29,1.2,0.14,4.29,814.078,1,1
Kepler-128 b,Kepler-128,Transit,1,15.0,0.12545,1.421,3.79,7.222837,0.0,968.0,227.398,6072.0,1.659,1.184,-0.03,4.07,396.379,1,2
Kepler-1245 b,Kepler-1245,Transit,1,4.35409304,0.0484,1.44,2.67,4.91,0.0,1043.0,194.344,5306.0,0.83,0.86,-0.01,4.55,805.936,1,2
Kepler-1068 b,Kepler-1068,Transit,1,16.92344113,0.13038,3.63,12.8,1.47,0.0,702.0,55.933,5806.0,1.01,1.01,0.03,4.43,1473.61,1,1
Kepler-311 c,Kepler-311,Transit,1,19.738286,0.145,1.43,2.63,4.94,0.0,744.0,72.456,5905.0,1.188,0.994,-0.03,4.308,778.654,1,3
Kepler-150 e,Kepler-150,Transit,1,30.826557,0.189,3.12,9.91,1.79,0.0,544.0,19.671,5560.0,0.939,0.956,0.12,4.466,891.092,1,5
Kepler-272 c,Kepler-272,Transit,1,6.057342,0.061,1.79,97.8,93.7,0.0,947.0,310.76,5297.0,0.929,0.91,0.04,4.426,889.608,1,3
Kepler-152 c,Kepler-152,Transit,1,88.255055,0.356,2.39,6.3,2.54,0.0,326.0,2.57,5088.0,0.724,0.779,-0.12,4.605,441.09,1,2
Kepler-1506 b,Kepler-1506,Transit,1,14.0329154,0.1168,1.32,2.3,5.5,0.0,783.0,235.807,5676.0,0.93,0.95,-0.05,4.49,2366.02,1,1
CoRoT-3 b,CoRoT-3,Transit,1,4.2568,0.05783,11.32,6883.91,26.4,0.0,1695.0,,6740.0,1.56,1.37,0.14,4.22,768.771,1,1
HD 205739 b,HD 205739,Radial Velocity,0,279.8,0.896,13.6,435.41,0.951,0.27,,,6176.0,1.33,1.22,0.19,4.29,92.5087,1,1
NGTS-10 b,NGTS-10,Transit,1,0.7668944,0.0143,13.506845,687.14846,1.43,0.0,1332.0,,4600.0,0.697,0.696,-0.02,4.595,324.69865036,1,1
HD 224693 b,HD 224693,Radial Velocity,0,26.6904,0.191,14.0,222.481,0.446,0.104,,,5894.0,1.93,1.31,0.27,4.38,93.5015,1,1
HD 156279 b,HD 156279,Radial Velocity,0,133.40355,0.502,12.5,2997.75753482,8.43,0.647,,,5453.0,0.95,0.94,0.14,4.46,36.1945,1,2
HD 12661 b,HD 12661,Radial Velocity,0,262.70862,0.84,13.3,772.3269,1.8,0.38,,,5645.0,1.2,1.2,0.36,4.36,37.8478,1,2
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,0,,55.0,12.9,1589.15,4.07,,1250.0,,2825.0,0.21887,0.024,,5.03186,64.308,1,1
HD 16417 b,HD 16417,Radial Velocity,0,17.24,0.14,5.0,22.1,0.972,0.2,,,5841.0,1.639984,1.2,0.06,4.16,25.3936,2,1
HD 19994 b,HD 19994,Radial Velocity,0,466.2,1.305,13.6,435.41,0.951,0.063,,,6188.0,1.79647,1.365,0.27,4.29,22.5242,3,1
HD 156279 c,HD 156279,Radial Velocity,0,4818.25358,5.486,12.5,3098.82696825,8.72,0.261,,,5453.0,0.95,0.94,0.14,4.46,36.1945,1,2
GJ 179 b,GJ 179,Radial Velocity,0,2288.0,2.41,13.8,301.93698665,0.631,0.21,,,3370.0,0.38,0.357,0.3,4.83,12.356,1,1
GQ Lup b,GQ Lup,Imaging,0,,100.0,33.6,6356.0,0.921,,2650.0,,4360.0,1.94153,0.7,-0.35,3.65,151.169,1,1
GJ 832 b,GJ 832,Radial Velocity,0,3853.0,3.7,13.8,314.65012293,0.658,0.05,,,3472.0,0.441557,0.45,-0.3,4.78905,4.96435,1,1
HD 37605 b,HD 37605,Radial Velocity,0,55.01292,0.277,13.2,854.9627,2.04,0.6745,,,5329.0,0.91,0.94,0.27,4.511,46.7864,1,2
HD 33283 b,HD 33283,Radial Velocity,0,18.1991,0.1508,12.5,104.56607,0.294,0.399,,,5935.0,1.97,1.38,0.35,4.12,89.8623,2,1
HD 9446 b,HD 9446,Radial Velocity,0,30.052,0.189,14.0,222.472,0.446,0.2,,,5793.0,1.0,1.0,0.09,4.53,50.3503,1,2
HD 134987 c,HD 134987,Radial Velocity,0,5000.0,5.8,13.9,260.0,0.532,0.12,,,5585.0,1.25,1.1,0.28,4.31,26.1804,1,2
HD 110014 b,HD 110014,Radial Velocity,0,835.477,2.14,12.4,3524.59,10.2,0.462,,,4445.0,20.9,2.17,0.19,2.1,100.758,1,1
HD 79498 b,HD 79498,Radial Velocity,0,1807.0,2.98,13.6,425.8922,0.93,0.575,,,5748.0,1.05,1.08,0.18,4.37,48.9489,2,1
HD 45652 b,HD 45652,Radial Velocity,0,44.073,0.237,14.3,137.62039,0.259,0.607,,,5294.0,0.94,0.92,0.26,4.2,34.8541,1,1
HIP 79431 b,HIP 79431,Radial Velocity,0,111.7,0.36,13.4,667.415,1.52,0.29,,,3191.0,0.478625,0.49,0.4,4.75617,14.5324,1,1
HD 3167 b,HD 3167,Transit,1,0.959641,0.01796,1.67,4.97,5.6,0.0,1774.0,1650.0,5261.0,0.88,0.837,0.04,4.53,47.2899,1,4
GJ 876 b,GJ 876,Radial Velocity,0,61.1166,0.208317,13.3,723.2235,1.69,0.0324,,,3293.74,0.3,0.32,0.2129,4.87177,4.67517,1,4
HD 114783 c,HD 114783,Radial Velocity,0,4352.0,5.0,13.4,603.8739733,1.38,0.05,,,5135.0,0.840622,0.9,0.21,4.525599,21.0628,1,2
HD 47186 c,HD 47186,Radial Velocity,0,1353.6,2.395,13.0,111.42,0.279,0.249,,,5657.0,1.08,0.96,0.24,4.36,37.4574,1,2
HD 114783 b,HD 114783,Radial Velocity,0,493.7,1.16,13.7,349.6,0.747,0.144,,,5135.0,0.840622,0.853,0.21,4.525599,21.0628,1,2
HD 148156 b,HD 148156,Radial Velocity,0,1027.0,2.45,13.9,270.144,0.553,0.52,,,6308.0,1.21,1.22,0.29,4.56,57.1289,1,1
HD 12661 c,HD 12661,Radial Velocity,0,1708.0,2.8145,13.2,899.45439181,2.15,0.031,,,5748.0,1.11,1.02,0.36,4.316128,37.8478,1,2
HIP 14810 c,HIP 14810,Radial Velocity,0,147.747,0.549,13.6,416.3573,0.91,0.1566,,,5544.0,1.07,1.01,0.24,4.32,50.48,1,3
HIP 14810 b,HIP 14810,Radial Velocity,0,6.673892,0.0696,13.0,1239.537,3.1,0.14399,,,5544.0,1.07,1.01,0.24,4.32,50.48,1,3
GJ 876 d,GJ 876,Radial Velocity,0,1.93778,0.02080665,2.51,6.83,2.37,0.207,,,3293.74,0.3,0.32,0.2129,4.87177,4.67517,1,4
GJ 876 e,GJ 876,Radial Velocity,0,124.26,0.3343,3.92,14.6,1.33,0.055,,,3293.74,0.3,0.32,0.2129,4.87177,4.67517,1,4
gam1 Leo b,gam1 Leo,Radial Velocity,0,428.5,1.19,12.5,2790.43,7.85,0.144,,,4330.0,31.88,1.23,-0.51,1.59,39.8883,2,1
HD 156411 b,HD 156411,Radial Velocity,0,842.2,1.88,14.0,235.18,0.471,0.22,,,5900.0,2.16,1.25,-0.12,4.07,56.8655,1,1
HD 8535 b,HD 8535,Radial Velocity,0,1313.0,2.45,14.0,216.1244,0.433,0.15,,,6136.0,1.19,1.13,0.06,4.46,55.4401,2,1
HD 37605 c,HD 37605,Radial Velocity,0,2720.0,3.74,13.1,1013.8777,2.48,0.03,,,5329.0,0.91,0.94,0.27,4.511,46.7864,1,2
HD 1605 c,HD 1605,Radial Velocity,0,2149.0,3.584,13.0,1150.5446,2.88,0.099,,,4915.0,3.49,1.33,0.22,3.4,88.8047,1,2
BD+20 2457 b,BD+20 2457,Radial Velocity,0,379.63,1.45,12.1,6807.63,21.1,0.15,,,4137.0,49.0,2.8,-1.0,1.51,1539.71,1,2
HD 240210 b,HD 240210,Radial Velocity,0,501.75,1.16,12.8,1655.82,4.34,0.15,,,4297.0,25.456816,0.82,-0.18,2.31,372.405,1,1
CoRoT-17 b,CoRoT-17,Transit,1,3.7681,0.0461,11.43,772.29,2.82,0.0,1626.0,,5740.0,1.59,1.04,0.0,4.4,1176.12,1,1
HD 132563 b,HD 132563,Radial Velocity,0,1544.0,2.62,13.6,473.547,1.03,0.22,,,6289.0,1.29577,1.231,-0.06,4.30327,105.155,3,1
HD 55696 b,HD 55696,Radial Velocity,0,1827.0,3.18,12.9,1357.12729789,3.47,0.705,,,6012.0,1.52,1.29,0.37,4.15,77.9693,1,1
HD 148164 b,HD 148164,Radial Velocity,0,328.55,0.993,13.7,390.9309,0.835,0.587,,,6032.0,1.34,1.21,0.24,4.1581,77.1971,1,2
24 Sex c,24 Sex,Radial Velocity,0,883.0,2.08,13.9,273.32,0.559,0.29,,,5098.0,4.9,1.54,-0.03,3.5,72.0691,1,2
HD 22781 b,HD 22781,Radial Velocity,0,528.07,1.167,12.3,4338.2,12.8,0.8191,,,5027.0,0.743475,0.75,-0.37,4.6,32.6034,1,1
HD 68988 b,HD 68988,Radial Velocity,0,6.27711,0.07,13.4,626.1251,1.43,0.12,,,5932.0,1.19,1.28,0.35,4.4,60.8447,1,2
HD 148164 c,HD 148164,Radial Velocity,0,5062.0,6.15,12.8,1640.0028,4.3,0.125,,,6032.0,1.34,1.21,0.24,4.1581,77.1971,1,2
HD 29985 b,HD 29985,Radial Velocity,0,20608.14049,13.39,12.8,1739.47487151,4.56,0.261,,,4678.0,0.574666,0.75,-0.22,4.7943,31.2707,1,1
HD 3167 c,HD 3167,Transit,1,29.8454,0.1776,3.0,11.13,2.11,0.06,564.0,16.9,5261.0,0.88,0.837,0.04,4.53,47.2899,1,4
HD 90156 b,HD 90156,Radial Velocity,0,49.77,0.25,4.43,17.98,1.14,0.31,,,5599.0,0.920286,0.84,-0.24,4.48,21.9496,1,1
HD 45350 b,HD 45350,Radial Velocity,0,963.6,1.92,13.5,568.89,1.27,0.778,,,5566.0,1.26442,0.98,0.23,4.22551,46.8733,1,1
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,Microlensing,0,2800.0,3.2,3.21,10.4,1.73,,,,,,0.56,,,3040.0,1,1
Kepler-595 c,Kepler-595,Transit,1,12.38602,0.0983,1.009,3.3,6.9,0.0,679.0,50.23,5138.5,0.821,0.93,0.406,4.54,643.009,1,2
Kepler-595 b,Kepler-595,Transit,1,25.3029092,0.1582,3.708,17.4,1.23,0.0,535.0,17.382,5138.5,0.821,0.93,0.406,4.54,643.009,1,2
HD 177830 c,HD 177830,Radial Velocity,0,110.9,0.5137,7.87,47.6725,0.537,0.3,,,4949.0,2.62,1.47,0.545,3.65,62.7674,2,2
OGLE-TR-111 b,OGLE-TR-111,Transit,1,4.0144463,0.0473,11.421971,174.799,0.65,0.0,1019.0,,5040.0,0.83,0.82,0.19,4.536,1068.33,1,1
PSR B1257+12 b,PSR B1257+12,Pulsar Timing,0,25.262,0.19,0.338,0.02,2.85,0.0,,,,,1.4,,,600.0,1,3
PSR B1257+12 d,PSR B1257+12,Pulsar Timing,0,98.2114,0.46,1.8,3.9,3.67,0.0264,,,,,1.4,,,600.0,1,3
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,Microlensing,0,,0.62,1.63,3.3,4.19,,,,,,0.06,,,1000.0,1,1
CoRoT-18 b,CoRoT-18,Transit,1,1.9000693,0.0295,14.68,1102.82,2.2,0.08,1550.0,823.7009,5440.0,1.0,0.95,-0.1,4.4,764.889,1,1
Kepler-45 b,Kepler-45,Transit,1,2.455239,0.03,10.76,160.497,0.8,0.11,1000.0,68.37,3820.0,0.55,0.59,0.28,4.7,381.949,1,1
WASP-23 b,WASP-23,Transit,1,2.9444256,0.0376,10.783,280.95,1.17,0.062,1076.55,317.4314,5150.0,0.765,0.78,-0.05,4.4,207.49,1,1
HD 107148 b,HD 107148,Radial Velocity,0,48.056,0.269,9.6,66.741,0.415,0.05,,,5797.0,1.169193,1.12,0.314,4.446,49.4156,2,2
SWEEPS-11 b,SWEEPS-11,Transit,1,1.796,0.03,12.666,3082.82,8.34,,,,,1.45,1.1,,,8500.0,1,1
OGLE-TR-211 b,OGLE-TR-211,Transit,1,3.67724,0.051,15.244,327.351,0.42,0.0,1686.0,,6325.0,1.64,1.33,0.11,4.22,1515.26,1,1
Lupus-TR-3 b,Lupus-TR-3,Transit,1,3.91405,0.0464,9.976,257.431,1.4,0.0,,,5000.0,0.82,0.87,,4.5,773.409,1,1
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,Microlensing,0,3285.0,2.6,2.21,5.5,2.8,,50.0,,,,0.22,,,6600.0,1,1
HN Peg b,HN Peg,Imaging,0,,773.0,11.7768,6991.57,23.5,,,,6186.0,1.006954,1.08,-0.036,4.48,18.1186,1,1
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,Microlensing,0,1980.0,1.8,13.2,830.0,1.98,,,,,,0.19,,,5690.0,1,1
GJ 674 b,GJ 674,Radial Velocity,0,4.6938,0.039,3.33,11.09,1.65,0.2,,,3600.0,0.36463,0.35,-0.28,4.85978,4.54896,1,1
CoRoT-11 b,CoRoT-11,Transit,1,2.99433,0.0436,16.03,740.51,0.99,0.0,1657.0,1890.649,6440.0,1.37,1.27,-0.03,4.22,655.037,1,1
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,0,,15.0,12.6,2383.6,6.55,,,,2936.0,0.231916,0.019,,5.01181,120.42398696,1,1
GJ 3634 b,GJ 3634,Radial Velocity,0,2.64561,0.0287,2.83,8.4,2.04,0.08,,,3517.0,0.43,0.45,,4.77636,20.3779,1,1
CoRoT-13 b,CoRoT-13,Transit,1,4.03519,0.051,9.92,415.704,2.34,0.0,1700.0,546.5339,5945.0,1.01,1.09,0.01,4.46,1148.93,1,1
OGLE-TR-10 b,OGLE-TR-10,Transit,1,3.101278,0.0434,14.011,197.046,0.4,0.0,1702.0,,5950.0,1.17,1.14,0.28,4.358,1344.97,1,1
HD 27442 b,HD 27442,Radial Velocity,0,428.1,1.271,13.5,495.8,1.11,0.06,,,4846.0,3.18,1.23,0.42,3.783,18.2704,2,1
GJ 3021 b,GJ 3021,Radial Velocity,0,133.71,0.49,13.1,1071.04,2.62,0.511,350.0,,5540.0,0.9,0.9,0.1,4.7,17.5559,2,1
CoRoT-8 b,CoRoT-8,Transit,1,6.21229,0.063,6.39,69.92,1.6,0.0,870.0,,5080.0,0.77,0.88,0.3,4.58,322.037,1,1
Kepler-18 c,Kepler-18,Transit,1,7.64159,0.0752,5.49,17.3,0.59,0.0,899.0,126.081,5345.0,1.108,0.972,0.19,4.31,433.047,1,3
Kepler-18 b,Kepler-18,Transit,1,3.504725,0.0447,2.0,6.9,4.9,0.0,1165.0,355.735,5345.0,1.108,0.972,0.19,4.31,433.047,1,3
HD 46375 b,HD 46375,Radial Velocity,0,3.023573,0.0398,10.0,71.8,0.395,0.063,,,5285.0,0.914196,0.92,0.24,4.533,29.5529,2,1
HD 136352 d,HD 136352,Radial Velocity,0,107.245,0.425,2.562,8.82,2.878108,0.0,431.0,5.74,5664.0,1.058,0.87,-0.24,4.39,14.682,1,3
HD 221287 b,HD 221287,Radial Velocity,0,456.1,1.25,13.1,982.05,2.4,0.08,,,6304.0,1.13864,1.25,-0.03,4.43,55.9231,1,1
HD 33564 b,HD 33564,Radial Velocity,0,388.0,1.1,12.5,2892.1,8.14,0.34,,,6250.0,1.4367,1.25,-0.12,4.0,20.9531,1,1
HD 189733 b,HD 189733,Radial Velocity,0,2.21857567,0.03126,12.66617,359.1479,0.943,0.0,1209.0,356.0,5052.0,0.75,0.79,-0.02,4.49,19.7638,2,1
OGLE2-TR-L9 b,OGLE2-TR-L9,Transit,1,2.4855335,0.0308,18.046,1430.175,1.25,,2034.0,4135.3642,6933.0,1.53,1.52,-0.05,4.25,1627.63,1,1
Kepler-4 b,Kepler-4,Transit,1,3.21346,0.0456,4.002,24.472,1.91,0.0,1650.0,1245.431,5857.0,1.487,1.223,0.17,4.17,487.916,1,1
WASP-38 b,WASP-38,Transit,1,6.87188,0.07522,13.78707,1093.3352,2.3,0.03,1250.0,,6180.0,1.52,1.76,-0.02,4.25,136.24,1,1
HAT-P-13 c,HAT-P-13,Radial Velocity,0,446.27,1.258,12.3,4538.421,13.4,0.6616,340.0,,5653.0,1.756,1.32,0.46,4.07,246.81,1,2
Kepler-18 d,Kepler-18,Transit,1,14.85888,0.1172,6.98,16.4,0.27,0.0,720.0,51.922,5345.0,1.108,0.972,0.19,4.31,433.047,1,3
HAT-P-37 b,HAT-P-37,Transit,1,2.797436,0.0379,13.204,371.528,0.89,0.058,1271.0,412.3914,5500.0,0.877,0.929,0.03,4.52,390.594,1,1
HD 129445 b,HD 129445,Radial Velocity,0,1840.0,2.9,13.3,797.74930157,1.86,0.7,,,5646.0,1.175816,0.99,0.25,4.28,67.4386,1,1
Kepler-419 c,Kepler-419,Transit Timing Variations,0,675.47,1.68,12.6,2320.1,6.37,0.184,,,6430.0,1.74,1.39,0.176,4.1,1011.36,1,2
HD 70573 b,HD 70573,Radial Velocity,0,851.8,1.76,12.8,1900.0,4.98,0.4,,,5737.0,0.976919,1.0,-0.18,4.59,59.182,1,1
HD 47536 b,HD 47536,Radial Velocity,0,712.13,1.93,12.6,2330.0,6.4,0.2,,,4380.0,23.47,2.1,-0.65,2.13,122.536,1,1
WASP-67 b,WASP-67,Transit,1,4.61442,0.05179,12.89035,136.6669,0.388,0.0,1003.0,188.1062,5200.0,0.88,0.91,-0.07,4.35,189.469,1,1
CoRoT-14 b,CoRoT-14,Transit,1,1.51214,0.027,12.22,2415.4,7.3,0.0,1952.0,,6035.0,1.21,1.13,0.05,4.35,1744.6,1,1
HD 102365 b,HD 102365,Radial Velocity,0,122.1,0.46,4.14,16.0,1.24,0.34,,,5630.0,0.95138,0.85,-0.26,4.57,9.2894,2,1
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,Microlensing,0,,1.1,5.18,23.4,0.925,,,,,,0.21,,,7700.0,1,1
Kepler-419 b,Kepler-419,Transit,1,69.7546,0.37,10.8,794.5,3.5,0.833,613.0,37.416,6430.0,1.74,1.39,0.176,4.1,1011.36,1,2
HD 24040 b,HD 24040,Radial Velocity,0,3668.0,4.92,12.9,1589.142035,4.07,0.04,,,5802.0,1.3,1.11,0.19,4.26,46.6224,1,2
HD 11964 c,HD 11964,Radial Velocity,0,37.91,0.229,5.38,25.0,0.882,0.3,,,5303.0,2.00971,0.91,0.1,3.79084,33.5369,2,2
CoRoT-6 b,CoRoT-6,Transit,1,8.886593,0.0855,13.068,940.74,2.32,0.1,1017.0,,6090.0,1.025,1.05,-0.2,4.43,645.294,1,1
WASP-31 b,WASP-31,Transit,1,3.4059096,0.04659,17.363,151.916,0.172,0.0,1423.7,970.9417,6302.0,1.252,1.163,-0.2,4.308,383.829,1,1
HD 108236 f,HD 108236,Transit,1,29.54115,0.1758,2.017,4.72,3.16,0.051,,,5660.0,0.877,0.869,-0.28,4.49,64.5978,1,5
Kepler-59 c,Kepler-59,Transit,1,17.9801235,0.13114,1.98,3.81,1.62,0.0,752.0,107.741,6074.0,0.94,1.04,-0.2,4.51,1163.22,1,2
Kepler-58 c,Kepler-58,Transit,1,15.5741568,0.12307,2.86,53.0,10.0,0.0,799.0,64.389,5843.0,1.03,0.95,0.1,4.39,969.252,1,4
HD 154857 c,HD 154857,Radial Velocity,0,3452.0,5.36,13.2,819.97,1.96,0.06,,,5605.0,1.76,1.718,-0.2,3.82,63.4482,1,2
KOI-217 b,KOI-217,Transit,1,3.90512,0.0477,12.442,,,0.0,1046.0,272.033,5545.0,0.86,0.95,0.12,4.53,914.699,1,1
Kepler-51 c,Kepler-51,Transit,1,85.312,0.384,9.0,4.0,0.03,0.014,439.0,4.331,6018.0,0.94,1.04,0.05,4.51,783.831,1,4
BD-210397 c,BD-210397,Radial Velocity,0,6240.0,5.9,12.9,1525.5763536,3.91,0.43,,0.0039,4051.0,0.747,0.69,0.12,4.67,23.7324,1,2
Kepler-62 c,Kepler-62,Transit,1,12.4417,0.0929,0.54,4.0,,0.0,578.0,28.489,4925.0,0.64,0.69,-0.37,4.68,300.874,1,5
Kepler-62 b,Kepler-62,Transit,1,5.714932,0.0553,1.31,9.0,,0.0,750.0,80.326,4925.0,0.64,0.69,-0.37,4.68,300.874,1,5
CHXR 73 b,CHXR 73,Imaging,0,,210.0,12.3,3994.486,11.8,,,,3099.0,,0.35,,,190.374,1,1
FU Tau b,FU Tau,Imaging,0,,800.0,12.2,5085.28,15.4,,2375.0,,2838.0,,0.05,,,133.4950466,1,1
GJ 667 C b,GJ 667 C,Radial Velocity,0,7.203,0.050431,2.25,5.68,2.74,0.2,,,3350.0,,0.33,-0.55,4.69,7.24396,3,5
HD 168443 c,HD 168443,Radial Velocity,0,1753.1096,2.842,12.2,5500.33841154,16.6,0.21,,,5491.0,1.711479,0.98,0.04,3.987745,39.6245,1,2
Kepler-59 b,Kepler-59,Transit,1,11.8681707,0.09943,1.1,4.1,8.7,0.0,864.0,187.51,6074.0,0.94,1.04,-0.2,4.51,1163.22,1,2
Kepler-53 b,Kepler-53,Transit,1,18.6489525,0.1361,2.89,111.0,1.18,0.0,701.0,60.997,5858.0,0.89,0.98,0.0,4.53,1366.07,1,3
HD 82943 c,HD 82943,Radial Velocity,0,220.078,0.74345,13.4,622.603,1.42,0.3663,,,5935.0,1.1826,1.08,0.26,4.32582,27.5902,1,2
HD 82943 b,HD 82943,Radial Velocity,0,441.47,1.18306,13.5,534.25,1.19,0.162,,,5935.0,1.1826,1.08,0.26,4.32582,27.5902,1,2
UZ For b,UZ For,Eclipse Timing Variations,0,5840.0,5.9,,2002.2,,0.04,,,5286.9,,0.7,,,239.60387482,2,2
Kepler-69 b,Kepler-69,Transit,1,13.722341,0.094,2.24,5.65,2.76,0.16,779.0,123.517,5638.0,0.93,0.81,-0.29,4.4,730.625,1,2
HIP 5158 c,HIP 5158,Radial Velocity,0,9017.76,7.7,12.2,4780.1632,14.5,0.14,,,4813.0,0.754089,0.78,0.17,4.57532,51.6026,1,2
HU Aqr AB b,HU Aqr,Eclipse Timing Variations,0,2390.0,3.6,12.8,1875.197,4.91,0.0,,,5952.0,,0.88,,,192.19807871,2,2
Kepler-37 e,Kepler-37,Transit Timing Variations,0,51.196,0.25,0.37,8.1,879.0,0.0,401.0,,5288.0,0.772,0.8,-0.25,4.5667,63.9207,1,4
Kepler-65 d,Kepler-65,Transit,1,8.13123,0.084,1.52,4.14,5.7,0.014,1117.0,394.549,6211.0,1.41,1.25,0.17,4.232,303.728,1,4
Kepler-52 c,Kepler-52,Transit,1,16.3850021,0.10379,1.84,45.4,20.0,0.012,433.0,8.55,4075.0,0.52,0.54,0.0,4.74,321.542,1,3
Kepler-55 b,Kepler-55,Transit,1,27.9481449,0.1593,2.43,43.0,16.5,0.0,400.0,6.642,4362.0,0.58,0.62,-0.01,4.7,578.796,1,5
UZ For c,UZ For,Eclipse Timing Variations,0,1916.25,2.8,,2447.2,,0.05,,,5286.9,,0.7,,,239.60387482,2,2
