pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
GJ 900 b,GJ 900 A,Imaging,0,,12000.0,12.4,3496.112477,10.1,,,,3976.0,0.716187,1.08,-0.63,4.55728,20.8065,3,1
TOI-2580 b,TOI-2580,Transit,1,3.39775,0.048,17.37392009,200.23189641,0.22,0.08,2410.0,1730.0,6120.0,1.81,1.33,0.26,4.15,379.253,1,1
TOI-3464 b,TOI-3464,Transit,1,3.6515568,0.0515,13.7646283,397.28550875,0.83,0.25,1693.0,1370.0,6370.0,1.56,1.363,0.045,4.185,597.774,1,1
HD 76920 b,HD 76920,Radial Velocity,0,415.891,1.091,13.1,994.80291391,2.43,0.8782,,,4664.0,8.33,1.0,-0.19,2.71,184.031,1,1
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,Microlensing,0,,1.18,14.1,200.23189641,0.393,,,,,,0.17,,,7220.0,1,1
Kepler-448 c,KOI-12,Transit Timing Variations,0,2500.0,4.2,12.0,6992.26,22.2,0.65,,,6635.0,1.4,1.5,0.0815,4.308,399.398,1,2
TOI-849 b,TOI-849,Transit,1,0.765548,0.0155,3.64,41.8,5.6,0.0,1932.0,2314.06,5257.0,0.97,0.97,0.19,4.48,225.734,1,1
HIP 39017 b,HIP 39017,Imaging,0,31000.0,22.1,12.0,7500.7504052,23.9,0.55,,,7201.0,1.51987,1.52,-0.26,4.28128,66.3217,1,1
HIP 54515 b,HIP 54515,Imaging,0,33000.0,24.8,12.2,5625.5628039,17.0,0.42,,,8100.0,1.64915,1.9,,4.29801,82.8101,1,1
HD 72659 c,HD 72659,Radial Velocity,0,35500.0,21.5,12.1,6165.8710958,19.1,0.114,,,5929.0,1.36,1.033,-0.02,4.23,51.8949,1,2
TOI-1410.01,TOI-1410,Transit,1,1.21687,0.0207,3.10083009,12.5,2.3,0.0,1236.7,565.5415,4635.0,0.7558,0.7941,0.328,4.579,72.7512,1,2
Kepler-24 c,Kepler-24,Transit,1,12.33,0.10612,2.514,9.99,3.418442,0.014,915.0,144.827,6028.0,1.099,1.06,-0.0708,4.33,1156.81,1,4
TOI-1846 b,TOI-1846,Transit,1,3.9306737,0.03646,1.792,3.87,3.7,,568.1,17.35,3568.0,0.397,0.418,0.169,4.862,47.2496,1,1
TOI-2345 c,TOI-2345,Transit,1,21.064302,0.1257,2.451,7.27,2.71,,544.0,14.57,4687.0,0.729,0.727,-0.1,4.57,81.6541,1,2
